Customer ID,Total_Orders,Total_Revenue,Total_Units,Unique_Products,Recency_Days,Customer_Lifetime_Days,Average_Order_Value,Average_Units_Per_Order,Average_Products_Per_Order,Orders_Per_Month,Revenue_Segment,Activity_Segment
12346.0,1,77183.6,74215,1,326,0,77183.6,74215.0,1.0,1.0,Very High,Inactive
12347.0,7,4310.0,2458,103,2,365,615.7142857142857,351.14285714285717,14.714285714285714,0.5316455696202532,Very High,Active
12348.0,4,1797.24,2341,22,75,282,449.31,585.25,5.5,0.3846153846153846,Very High,Recently Inactive
12349.0,1,1757.55,631,73,19,0,1757.55,631.0,73.0,1.0,Very High,Active
12350.0,1,334.40000000000003,197,17,310,0,334.40000000000003,197.0,17.0,1.0,Medium,Inactive
12352.0,7,1665.74,533,58,36,260,237.96285714285713,76.14285714285714,8.285714285714286,0.7241379310344828,Very High,Recently Inactive
12353.0,1,89.0,20,4,204,0,89.0,20.0,4.0,1.0,Low,Inactive
12354.0,1,1079.4,530,58,232,0,1079.4,530.0,58.0,1.0,High,Inactive
12355.0,1,459.40000000000003,240,13,214,0,459.40000000000003,240.0,13.0,1.0,Medium,Inactive
12356.0,3,2811.43,1591,53,23,302,937.1433333333333,530.3333333333334,17.666666666666668,0.2710843373493976,Very High,Active
12357.0,1,6207.67,2708,131,33,0,6207.67,2708.0,131.0,1.0,Very High,Recently Inactive
12358.0,2,1168.06,248,13,2,149,584.03,124.0,6.5,0.33519553072625696,High,Active
12359.0,4,6310.03,1609,214,58,274,1577.5075,402.25,53.5,0.39473684210526316,Very High,Recently Inactive
12360.0,3,2662.06,1165,105,52,148,887.3533333333334,388.3333333333333,35.0,0.5056179775280899,Very High,Recently Inactive
12361.0,1,189.9,91,10,287,0,189.9,91.0,10.0,1.0,Low,Inactive
12362.0,10,5226.2300000000005,2229,201,3,292,522.623,222.9,20.1,0.9316770186335405,Very High,Active
12363.0,2,552.0,408,23,110,132,276.0,204.0,11.5,0.37037037037037035,Medium,At Risk
12364.0,4,1313.1,1506,70,8,104,328.275,376.5,17.5,0.8955223880597015,High,Active
12365.0,1,320.69,173,21,291,0,320.69,173.0,21.0,1.0,Medium,Inactive
12367.0,1,168.9,173,11,4,0,168.9,173.0,11.0,1.0,Low,Active
12370.0,4,3541.94,2352,143,51,309,885.485,588.0,35.75,0.35398230088495575,Very High,Recently Inactive
12371.0,2,1887.96,591,63,45,14,943.98,295.5,31.5,1.3636363636363635,Very High,Recently Inactive
12372.0,3,1298.04,794,34,72,224,432.68,264.6666666666667,11.333333333333334,0.3543307086614173,High,Recently Inactive
12373.0,1,364.6,197,14,311,0,364.6,197.0,14.0,1.0,Medium,Inactive
12374.0,1,742.9300000000001,342,33,25,0,742.9300000000001,342.0,33.0,1.0,High,Active
12375.0,2,457.5,178,14,11,87,228.75,89.0,7.0,0.5128205128205129,Medium,Active
12377.0,2,1628.1200000000001,944,72,315,39,814.0600000000001,472.0,36.0,0.8695652173913044,High,Inactive
12378.0,1,4008.62,2529,219,130,0,4008.62,2529.0,219.0,1.0,Very High,At Risk
12379.0,2,852.24,407,39,82,88,426.12,203.5,19.5,0.5084745762711864,High,Recently Inactive
12380.0,4,2724.81,1127,77,22,164,681.2025,281.75,19.25,0.6185567010309279,Very High,Active
12381.0,5,1845.31,808,70,5,115,369.062,161.6,14.0,1.0344827586206895,Very High,Active
12383.0,5,1850.56,1532,84,185,167,370.11199999999997,306.4,16.8,0.7614213197969544,Very High,Inactive
12384.0,2,585.27,126,26,29,92,292.635,63.0,13.0,0.49180327868852464,Medium,Active
12386.0,2,401.9,354,10,338,29,200.95,177.0,5.0,1.0169491525423728,Medium,Inactive
12388.0,6,2780.6600000000003,1462,57,16,311,463.4433333333334,243.66666666666666,9.5,0.5278592375366569,Very High,Active
12390.0,1,549.84,353,32,80,0,549.84,353.0,32.0,1.0,Medium,Recently Inactive
12391.0,1,439.66,293,92,22,0,439.66,293.0,92.0,1.0,Medium,Active
12393.0,4,1582.6000000000001,816,47,72,260,395.65000000000003,204.0,11.75,0.4137931034482759,High,Recently Inactive
