Invoice,Order_Revenue,Units,Unique_Products,Average_Item_Value,Customer_ID,Country,Order_Date,Basket_Size
536365,139.12,40,7,3.478,17850.0,United Kingdom,2010-12-01 08:26:00,Large
536366,22.2,12,2,1.8499999999999999,17850.0,United Kingdom,2010-12-01 08:28:00,Medium
536367,278.73,83,12,3.3581927710843376,13047.0,United Kingdom,2010-12-01 08:34:00,Very Large
536368,70.05,15,4,4.67,13047.0,United Kingdom,2010-12-01 08:34:00,Medium
536369,17.85,3,1,5.95,13047.0,United Kingdom,2010-12-01 08:35:00,Small
536370,855.86,449,20,1.9061469933184856,12583.0,France,2010-12-01 08:45:00,Very Large
536371,204.0,80,1,2.55,13748.0,United Kingdom,2010-12-01 09:00:00,Very Large
536372,22.2,12,2,1.8499999999999999,17850.0,United Kingdom,2010-12-01 09:01:00,Medium
536373,259.86,88,16,2.9529545454545456,17850.0,United Kingdom,2010-12-01 09:02:00,Very Large
536374,350.4,32,1,10.95,15100.0,United Kingdom,2010-12-01 09:09:00,Large
536375,259.86,88,16,2.9529545454545456,17850.0,United Kingdom,2010-12-01 09:32:00,Very Large
536376,328.8,112,2,2.935714285714286,15291.0,United Kingdom,2010-12-01 09:32:00,Very Large
536377,22.2,12,2,1.8499999999999999,17850.0,United Kingdom,2010-12-01 09:34:00,Medium
536378,444.98,454,19,0.9801321585903084,14688.0,United Kingdom,2010-12-01 09:37:00,Very Large
536380,34.8,24,1,1.45,17809.0,United Kingdom,2010-12-01 09:41:00,Large
536381,449.98,198,34,2.2726262626262628,15311.0,United Kingdom,2010-12-01 09:41:00,Very Large
536382,430.6,134,12,3.2134328358208957,16098.0,United Kingdom,2010-12-01 09:45:00,Very Large
536384,489.6,190,13,2.576842105263158,18074.0,United Kingdom,2010-12-01 09:53:00,Very Large
536385,130.85,53,7,2.468867924528302,17420.0,United Kingdom,2010-12-01 09:56:00,Very Large
536386,508.20000000000005,236,3,2.1533898305084747,16029.0,United Kingdom,2010-12-01 09:57:00,Very Large
536387,3193.92,1440,5,2.218,16029.0,United Kingdom,2010-12-01 09:58:00,Very Large
536388,226.14000000000001,108,14,2.093888888888889,16250.0,United Kingdom,2010-12-01 09:59:00,Very Large
536389,358.25,107,14,3.3481308411214954,12431.0,Australia,2010-12-01 10:03:00,Very Large
536390,1825.74,1568,24,1.164375,17511.0,United Kingdom,2010-12-01 10:19:00,Very Large
536392,318.14,103,10,3.08873786407767,13705.0,United Kingdom,2010-12-01 10:29:00,Very Large
536393,79.6,8,1,9.95,13747.0,United Kingdom,2010-12-01 10:37:00,Medium
536394,1024.68,544,11,1.8836029411764708,13408.0,United Kingdom,2010-12-01 10:39:00,Very Large
536395,507.88,260,14,1.9533846153846153,13767.0,United Kingdom,2010-12-01 10:47:00,Very Large
536396,376.36,102,18,3.6898039215686276,17850.0,United Kingdom,2010-12-01 10:51:00,Very Large
536397,279.0,60,2,4.65,17924.0,United Kingdom,2010-12-01 10:51:00,Very Large
536398,426.56,150,17,2.8437333333333332,13448.0,United Kingdom,2010-12-01 10:52:00,Very Large
536399,22.2,12,2,1.8499999999999999,17850.0,United Kingdom,2010-12-01 10:52:00,Medium
536400,17.4,12,1,1.45,13448.0,United Kingdom,2010-12-01 10:53:00,Medium
536401,354.23,124,64,2.856693548387097,15862.0,United Kingdom,2010-12-01 11:21:00,Very Large
536402,357.0,116,3,3.0775862068965516,15513.0,United Kingdom,2010-12-01 11:22:00,Very Large
536403,192.60000000000002,97,2,1.9855670103092786,12791.0,Netherlands,2010-12-01 11:27:00,Very Large
536404,471.3,438,28,1.076027397260274,16218.0,United Kingdom,2010-12-01 11:29:00,Very Large
536405,326.4,128,1,2.55,14045.0,United Kingdom,2010-12-01 11:32:00,Very Large
536406,353.14,96,17,3.6785416666666664,17850.0,United Kingdom,2010-12-01 11:33:00,Very Large
536407,22.2,12,2,1.8499999999999999,17850.0,United Kingdom,2010-12-01 11:34:00,Medium
536408,783.11,558,48,1.4034229390681003,14307.0,United Kingdom,2010-12-01 11:41:00,Very Large
536409,232.03,169,51,1.3729585798816568,17908.0,United Kingdom,2010-12-01 11:45:00,Very Large
536412,453.46,197,54,2.3018274111675128,17920.0,United Kingdom,2010-12-01 11:49:00,Very Large
536415,390.79,228,59,1.7139912280701755,12838.0,United Kingdom,2010-12-01 11:57:00,Very Large
536416,225.7,110,6,2.0518181818181818,13255.0,United Kingdom,2010-12-01 11:58:00,Very Large
536420,233.45,111,14,2.103153153153153,16583.0,United Kingdom,2010-12-01 12:03:00,Very Large
536423,303.9,78,9,3.896153846153846,18085.0,United Kingdom,2010-12-01 12:08:00,Very Large
536425,362.45,137,17,2.6456204379562043,13758.0,United Kingdom,2010-12-01 12:08:00,Very Large
536437,842.12,1004,6,0.8387649402390438,13694.0,United Kingdom,2010-12-01 12:12:00,Very Large
536446,430.99,323,28,1.3343343653250774,15983.0,United Kingdom,2010-12-01 12:15:00,Very Large
536460,295.54,158,14,1.8705063291139241,14849.0,United Kingdom,2010-12-01 12:22:00,Very Large
536463,17.4,12,1,1.45,14849.0,United Kingdom,2010-12-01 12:22:00,Medium
536464,265.1,151,74,1.7556291390728478,17968.0,United Kingdom,2010-12-01 12:23:00,Very Large
536466,42.9,18,2,2.3833333333333333,14849.0,United Kingdom,2010-12-01 12:23:00,Medium
536477,2474.7400000000002,1070,14,2.3128411214953273,16210.0,United Kingdom,2010-12-01 12:27:00,Very Large
536488,163.34,71,31,2.30056338028169,17897.0,United Kingdom,2010-12-01 12:31:00,Very Large
536500,223.9,102,15,2.1950980392156865,17377.0,United Kingdom,2010-12-01 12:35:00,Very Large
536502,95.28999999999999,39,5,2.443333333333333,16552.0,United Kingdom,2010-12-01 12:36:00,Large
536508,155.52,216,2,0.7200000000000001,17181.0,United Kingdom,2010-12-01 12:38:00,Very Large
536514,295.5,118,5,2.5042372881355934,17951.0,United Kingdom,2010-12-01 12:40:00,Very Large
536520,313.49,197,69,1.5913197969543147,14729.0,United Kingdom,2010-12-01 12:43:00,Very Large
536521,4.95,1,1,4.95,12748.0,United Kingdom,2010-12-01 12:48:00,Small
536522,188.56,84,46,2.244761904761905,15012.0,United Kingdom,2010-12-01 12:49:00,Very Large
536523,203.3,112,12,1.8151785714285715,12868.0,United Kingdom,2010-12-01 12:50:00,Very Large
536524,70.80000000000001,24,4,2.9500000000000006,17572.0,United Kingdom,2010-12-01 12:51:00,Large
536525,136.24,29,13,4.6979310344827585,14078.0,United Kingdom,2010-12-01 12:54:00,Large
536526,301.24,94,9,3.20468085106383,14001.0,United Kingdom,2010-12-01 12:58:00,Very Large
536527,261.48,157,15,1.6654777070063695,12662.0,Germany,2010-12-01 13:04:00,Very Large
536528,274.93,113,44,2.433008849557522,15525.0,United Kingdom,2010-12-01 13:17:00,Very Large
536529,161.0,38,9,4.2368421052631575,14237.0,United Kingdom,2010-12-01 13:20:00,Large
536530,200.5,71,22,2.823943661971831,17905.0,United Kingdom,2010-12-01 13:21:00,Very Large
536531,939.59,391,22,2.40304347826087,15485.0,United Kingdom,2010-12-01 13:23:00,Very Large
536532,1919.14,1852,73,1.0362526997840174,12433.0,Norway,2010-12-01 13:24:00,Very Large
