StockCode,Product_Name,Total_Units_Sold,Total_Revenue,Orders,Customers,Average_Price,Revenue_Per_Order,Units_Per_Order,Customer_Penetration,Revenue_Segment
10002,INFLATABLE POLITICAL GLOBE ,860,759.89,71,40,1.086619718309859,10.702676056338028,12.112676056338028,0.922722029988466,High
10080,GROOVY CACTUS INFLATABLE,303,119.08999999999999,22,19,0.41090909090909095,5.413181818181818,13.772727272727273,0.4382929642445213,Low
10120,DOGGY RUBBER,192,40.32,29,25,0.21,1.390344827586207,6.620689655172414,0.5767012687427913,Low
10123C,HEARTS WRAPPING TAPE ,5,3.25,3,3,0.65,1.0833333333333333,1.6666666666666667,0.06920415224913494,Low
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,5,5,0.42000000000000004,1.3439999999999999,3.2,0.11534025374855825,Low
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,4,4,0.42,1.785,4.25,0.0922722029988466,Low
10125,MINI FUNKY DESIGN TAPES,1295,993.99,91,49,0.8597849462365591,10.922967032967033,14.23076923076923,1.130334486735871,High
10133,COLOURING PENCILS BROWN TUBE,2856,1539.6,196,101,0.6525510204081633,7.855102040816326,14.571428571428571,2.3298731257208765,High
10135,COLOURING PENCILS BROWN TUBE,2229,2204.89,175,92,1.4128813559322033,12.599371428571429,12.737142857142857,2.122260668973472,High
11001,ASSTD DESIGN RACING CAR PEN,1615,2389.44,113,44,1.89,21.145486725663716,14.29203539823009,1.0149942329873125,Very High
15030,FAN BLACK FRAME ,143,41.47,12,11,0.29,3.455833333333333,11.916666666666666,0.2537485582468281,Low
15034,PAPER POCKET TRAVELING FAN ,6591,840.0200000000001,138,70,0.3739855072463768,6.087101449275363,47.76086956521739,1.6147635524798154,High
15036,ASSORTED COLOURS SILK FAN,23826,18569.84,518,194,1.0677649325626204,35.849111969111966,45.996138996138995,4.47520184544406,Very High
15039,SANDALWOOD FAN,2090,1978.6399999999999,145,58,1.2422758620689656,13.645793103448275,14.413793103448276,1.3379469434832756,High
15044A,PINK PAPER PARASOL ,458,1439.0200000000002,102,53,3.6700000000000004,14.108039215686276,4.490196078431373,1.2226066897347174,High
15044B,BLUE PAPER PARASOL ,321,946.83,60,36,3.506666666666667,15.7805,5.35,0.8304498269896194,High
15044C,PURPLE PAPER PARASOL,313,1022.9900000000001,88,43,3.851818181818182,11.624886363636366,3.5568181818181817,0.991926182237601,High
15044D,RED PAPER PARASOL,644,1819.76,84,53,3.3333333333333335,21.663809523809523,7.666666666666667,1.2226066897347174,High
15056BL,EDWARDIAN PARASOL BLACK,2844,15828.84,321,142,6.430311526479751,49.31102803738318,8.85981308411215,3.275663206459054,Very High
15056N,EDWARDIAN PARASOL NATURAL,3950,22152.690000000002,456,184,6.94886462882096,48.5804605263158,8.662280701754385,4.244521337946944,Very High
15056P,EDWARDIAN PARASOL PINK,776,4354.92,144,87,6.352222222222222,30.2425,5.388888888888889,2.006920415224913,Very High
15056bl,EDWARDIAN PARASOL BLACK,87,1086.88,62,0,12.489354838709678,17.530322580645162,1.403225806451613,0.0,High
15056n,EDWARDIAN PARASOL NATURAL,127,1585.2800000000002,84,0,12.484761904761905,18.872380952380954,1.5119047619047619,0.0,High
15056p,EDWARDIAN PARASOL PINK,33,412.48,26,0,12.5,15.864615384615385,1.2692307692307692,0.0,Medium
